measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Lithuania,Male,<1 year,Years,2007,64.58707547808508,64.7352749710019,64.43853235142339
Life expectancy,Lithuania,Female,<1 year,Years,2007,77.16084333317706,77.36108357171577,76.98238028722287
Life expectancy,Lithuania,Both,<1 year,Years,2007,70.73310383642081,70.85975580014933,70.6099243372026
Life expectancy,Moldova,Male,<1 year,Years,2007,65.15775130081092,65.35799637795893,64.95521269404493
Life expectancy,Moldova,Female,<1 year,Years,2007,73.38456325188321,73.55312733319049,73.21932670539023
Life expectancy,Moldova,Both,<1 year,Years,2007,69.29365447152783,69.46528154986383,69.11802588303642
Life expectancy,Russian Federation,Male,<1 year,Years,2007,61.112897529188736,61.130532956667814,61.0947279677585
Life expectancy,Russian Federation,Female,<1 year,Years,2007,73.81973516903358,73.84053143788702,73.79991741470228
Life expectancy,Russian Federation,Both,<1 year,Years,2007,67.27830668168325,67.29278197647294,67.26241482394195
Life expectancy,Ukraine,Male,<1 year,Years,2007,62.37536114187068,62.41232615739057,62.33612577197462
Life expectancy,Ukraine,Female,<1 year,Years,2007,74.08630567279532,74.13210399335335,74.03783745937267
Life expectancy,Ukraine,Both,<1 year,Years,2007,68.13150014160057,68.16521774944003,68.09631694935571
Life expectancy,Andorra,Male,<1 year,Years,2007,79.16813726999648,79.87085355134452,78.4634915970833
Life expectancy,Andorra,Female,<1 year,Years,2007,85.75742428007591,86.58198831882109,84.144481609882
Life expectancy,Andorra,Both,<1 year,Years,2007,82.09706457837981,82.66374833528795,81.40502033044794
Life expectancy,Austria,Male,<1 year,Years,2007,77.38624158593082,77.50217471460024,77.2627952678651
Life expectancy,Austria,Female,<1 year,Years,2007,82.85609700852669,82.9916995421304,82.71198764961997
Life expectancy,Austria,Both,<1 year,Years,2007,80.21971512650039,80.30875603280414,80.12367968119713
Life expectancy,Belgium,Male,<1 year,Years,2007,76.8384606068133,76.93992047870056,76.73673055839159
Life expectancy,Belgium,Female,<1 year,Years,2007,82.20159894743556,82.32511414475738,82.08339816086394
Life expectancy,Belgium,Both,<1 year,Years,2007,79.58133634258506,79.6626253174023,79.50039583375609
Life expectancy,Cyprus,Male,<1 year,Years,2007,75.64035337363505,76.23449623447883,74.95951685935762
Life expectancy,Cyprus,Female,<1 year,Years,2007,82.16325318553233,82.77505206801253,81.56335116578082
Life expectancy,Cyprus,Both,<1 year,Years,2007,78.7942362842762,79.22932234649642,78.33151134545655
Life expectancy,Denmark,Male,<1 year,Years,2007,76.13789374454089,76.28626483766313,75.99029472408658
Life expectancy,Denmark,Female,<1 year,Years,2007,80.59200052141345,80.75862606266038,80.41962694040951
Life expectancy,Denmark,Both,<1 year,Years,2007,78.38674420129247,78.5001706353102,78.27479368625849
Life expectancy,Finland,Male,<1 year,Years,2007,76.03444581618338,76.18257692550833,75.89602168658578
Life expectancy,Finland,Female,<1 year,Years,2007,82.99318581882693,83.15663440763853,82.8444897874373
Life expectancy,Finland,Both,<1 year,Years,2007,79.54108092187941,79.65966330998884,79.42555714725971
Life expectancy,France,Male,<1 year,Years,2007,77.50047723106876,77.54717023742707,77.45320441548695
Life expectancy,France,Female,<1 year,Years,2007,84.32424503855259,84.3757663223203,84.26819093203542
Life expectancy,France,Both,<1 year,Years,2007,80.97676699982912,81.01409005909295,80.93818238471496
Life expectancy,Germany,Male,<1 year,Years,2007,77.44298909578777,77.48690041164616,77.40111246084413
Life expectancy,Germany,Female,<1 year,Years,2007,82.59090164330797,82.63933764061122,82.53988793663387
Life expectancy,Germany,Both,<1 year,Years,2007,80.06282658427888,80.09510181138837,80.02966539976812
Life expectancy,Greece,Male,<1 year,Years,2007,76.84295844306129,76.94203774153492,76.74077449722292
Life expectancy,Greece,Female,<1 year,Years,2007,82.0455999338968,82.17011286422098,81.93246125236519
Life expectancy,Greece,Both,<1 year,Years,2007,79.41675390385001,79.50131988701504,79.33694820622868
Life expectancy,Iceland,Male,<1 year,Years,2007,79.95707707127936,80.220581907026,79.67905445284914
Life expectancy,Iceland,Female,<1 year,Years,2007,83.87784546360416,84.17133414010019,83.58797693433014
Life expectancy,Iceland,Both,<1 year,Years,2007,81.91927260908066,82.11549771418147,81.71292208311844
Life expectancy,Ireland,Male,<1 year,Years,2007,77.24171197758461,77.40244558517796,77.08609010495967
Life expectancy,Ireland,Female,<1 year,Years,2007,82.01102713790495,82.1886679086618,81.83248637615722
Life expectancy,Ireland,Both,<1 year,Years,2007,79.63089966259093,79.75564018613555,79.49524557602317
Life expectancy,Israel,Male,<1 year,Years,2007,78.68955430034407,78.82729456254667,78.55323983080467
Life expectancy,Israel,Female,<1 year,Years,2007,82.37132826522205,82.52984471402337,82.208167022812
Life expectancy,Israel,Both,<1 year,Years,2007,80.58893004892079,80.69445067530363,80.48148018538693
Life expectancy,Italy,Male,<1 year,Years,2007,78.56054856648964,78.61296034382309,78.51050932066218
Life expectancy,Italy,Female,<1 year,Years,2007,83.98712664987048,84.04960833631675,83.9213535292577
Life expectancy,Italy,Both,<1 year,Years,2007,81.37616890290856,81.41816916424871,81.33214776569622
Life expectancy,Luxembourg,Male,<1 year,Years,2007,77.86082498582488,78.10821805545989,77.59947012418199
Life expectancy,Luxembourg,Female,<1 year,Years,2007,82.24102030088905,82.50685746151447,81.98112387469567
Life expectancy,Luxembourg,Both,<1 year,Years,2007,80.12382680468922,80.31964152107659,79.93167917195353
Life expectancy,Malta,Male,<1 year,Years,2007,77.34472170388746,77.59687764991837,77.07937802657601
Life expectancy,Malta,Female,<1 year,Years,2007,81.81861995860321,82.1123770635226,81.54613074397025
Life expectancy,Malta,Both,<1 year,Years,2007,79.63792304412502,79.85641417492931,79.44088860006404
Life expectancy,Netherlands,Male,<1 year,Years,2007,78.00921881692145,78.10212678234801,77.92341205471449
Life expectancy,Netherlands,Female,<1 year,Years,2007,82.24781269860631,82.34633005327638,82.14713311402109
Life expectancy,Netherlands,Both,<1 year,Years,2007,80.22050338694339,80.29077543986477,80.15146785487742
Life expectancy,Norway,Male,<1 year,Years,2007,78.28101185310936,78.35929203385155,78.20032329500572
Life expectancy,Norway,Female,<1 year,Years,2007,82.69582803249861,82.78277854367492,82.60519631774515
Life expectancy,Norway,Both,<1 year,Years,2007,80.54523609452237,80.61062955523205,80.48002952477972
Life expectancy,Portugal,Male,<1 year,Years,2007,76.04405362850075,76.14646963561462,75.94989518781598
Life expectancy,Portugal,Female,<1 year,Years,2007,82.4210742652561,82.54646924854137,82.30079487829309
Life expectancy,Portugal,Both,<1 year,Years,2007,79.28113201125286,79.36339150195522,79.19927237065885
Life expectancy,Spain,Male,<1 year,Years,2007,77.77437349945565,77.82601460880717,77.71985241187659
Life expectancy,Spain,Female,<1 year,Years,2007,84.22605982194766,84.29721857449199,84.16428734071862
Life expectancy,Spain,Both,<1 year,Years,2007,81.00859446052397,81.05094737829332,80.96576477352818
Life expectancy,Sweden,Male,<1 year,Years,2007,78.67552839432419,78.77774174914552,78.56052581303426
Life expectancy,Sweden,Female,<1 year,Years,2007,83.04454054075198,83.17611872385744,82.91826855912271
Life expectancy,Sweden,Both,<1 year,Years,2007,80.87653553655856,80.96523880583301,80.79436890084675
Life expectancy,Switzerland,Male,<1 year,Years,2007,79.51546042539742,79.64139972936285,79.37537803386812
Life expectancy,Switzerland,Female,<1 year,Years,2007,84.14852460800756,84.287717271818,84.00609578380734
Life expectancy,Switzerland,Both,<1 year,Years,2007,81.9328788669061,82.02930099649411,81.82903039318055
Life expectancy,United Kingdom,Male,<1 year,Years,2007,77.49646320305601,77.52566484249165,77.46675404751544
Life expectancy,United Kingdom,Female,<1 year,Years,2007,81.73443457461491,81.76539439391264,81.70325329166191
Life expectancy,United Kingdom,Both,<1 year,Years,2007,79.66642520321159,79.68919818654507,79.64351341629863
Life expectancy,Albania,Male,<1 year,Years,1991,69.42305101105407,69.75140435914146,69.10113948008132
Life expectancy,Albania,Female,<1 year,Years,1991,77.22396402498893,77.5740459584268,76.87251351457662
Life expectancy,Albania,Both,<1 year,Years,1991,73.0117303649408,73.32919315189181,72.70083645150184
Life expectancy,Bosnia and Herzegovina,Male,<1 year,Years,1991,69.43779654178924,69.5865893246657,69.29044306656277
Life expectancy,Bosnia and Herzegovina,Female,<1 year,Years,1991,76.22275655358553,76.41146057842269,76.03204053966665
Life expectancy,Bosnia and Herzegovina,Both,<1 year,Years,1991,72.83788641543593,72.9645738945882,72.71517842147206
Life expectancy,Bulgaria,Male,<1 year,Years,1991,68.51797653158381,68.62158867387495,68.41760030848053
Life expectancy,Bulgaria,Female,<1 year,Years,1991,75.5045192785179,75.63405399824642,75.385473908618
Life expectancy,Bulgaria,Both,<1 year,Years,1991,71.86339974134528,71.95569248502102,71.77790200232309
Life expectancy,Croatia,Male,<1 year,Years,1991,66.08279715956009,66.53340880805418,65.63644322746269
Life expectancy,Croatia,Female,<1 year,Years,1991,76.23577475597105,76.69585411692077,75.74025146308881
Life expectancy,Croatia,Both,<1 year,Years,1991,71.02585704075034,71.35226110967605,70.6710531312518
Life expectancy,Czech Republic,Male,<1 year,Years,1991,68.22976824944173,68.31127798103593,68.14606164590951
Life expectancy,Czech Republic,Female,<1 year,Years,1991,75.7096094511751,75.82490513504949,75.60275950585859
