measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Central Europe,Female,<1 year,Years,2017,80.43943241202234,80.7004958094079,80.18706437687138
Life expectancy,Central Europe,Both,<1 year,Years,2017,77.02971089052792,77.23085964742968,76.82938514773504
Life expectancy,Eastern Europe,Male,<1 year,Years,2017,66.49312130193296,66.71235774318104,66.27756510611215
Life expectancy,Eastern Europe,Female,<1 year,Years,2017,77.24490995153259,77.43162575936726,77.0595991762668
Life expectancy,Eastern Europe,Both,<1 year,Years,2017,71.93092475208819,72.08181817081955,71.77259408680881
Life expectancy,Western Europe,Male,<1 year,Years,2017,79.52818849930631,79.84447470673919,79.19257877951904
Life expectancy,Western Europe,Female,<1 year,Years,2017,84.21099390361572,84.509727174234,83.90397604825695
Life expectancy,Western Europe,Both,<1 year,Years,2017,81.90646531116622,82.12967398964095,81.68467374636242
Life expectancy,Western Europe,Male,<1 year,Years,2000,75.56967004410961,75.58732152534576,75.5501459353858
Life expectancy,Western Europe,Female,<1 year,Years,2000,81.56681177767629,81.58909493356009,81.54383832208534
Life expectancy,Western Europe,Both,<1 year,Years,2000,78.63049754145696,78.64558036729693,78.61434302533159
Life expectancy,Central Europe,Male,<1 year,Years,2001,69.58728374660856,69.639169869808,69.53364343806635
Life expectancy,Central Europe,Female,<1 year,Years,2001,77.03688634966808,77.08897244298609,76.98836918575992
Life expectancy,Central Europe,Both,<1 year,Years,2001,73.28427163996807,73.32464290099857,73.24204015260986
Life expectancy,Eastern Europe,Male,<1 year,Years,2001,60.40422208314183,60.42952512589074,60.37871416601409
Life expectancy,Eastern Europe,Female,<1 year,Years,2001,72.94675335313043,72.97324675612873,72.92403744540333
Life expectancy,Eastern Europe,Both,<1 year,Years,2001,66.45012419824481,66.46886124308229,66.4312557858557
Life expectancy,Western Europe,Male,<1 year,Years,2001,75.86682739163756,75.88493993908706,75.84929990603239
Life expectancy,Western Europe,Female,<1 year,Years,2001,81.79213419394235,81.81205578328691,81.77140378059673
